Rat tumor data from Tarone (1982).  Data from Table 5.1 of Bayesian
Data Analysis.

y N  Current
0 20 0
0 20 0
0 20 0
0 20 0
0 20 0
0 20 0
0 20 0
0 19 0
0 19 0
0 19 0
0 19 0
0 18 0
0 18 0
0 17 0
1 20 0
1 20 0
1 20 0
1 20 0
1 19 0
1 19 0
1 18 0
1 18 0
3 27 0
2 25 0
2 24 0
2 23 0
2 20 0
2 20 0
2 20 0
2 20 0
2 20 0
2 20 0
1 10 0
5 49 0
2 19 0
5 46 0
2 17 0
7 49 0
7 47 0
3 20 0
3 20 0
2 13 0
9 48 0
10 50 0
4 20 0
4 20 0
4 20 0
4 20 0
4 20 0
4 20 0
4 20 0
10 48 0
4 19 0
4 19 0
4 19 0
5 22 0
11 46 0
12 49 0
5 20 0
5 20 0
6 23 0
5 19 0
6 22 0
6 20 0
6 20 0
6 20 0
16 52 0
15 46 0
15 47 0
9 24 0
4 14 1

